name,headline,linkedin_url
Brian Diaz,"Cofounder & CEO, Pacifico Group",https://www.linkedin.com/in/brian-gustavo-diaz/
Jim O'Drobinak,"CEO, MCS / Medical Card System",https://www.linkedin.com/in/jim-o-drobinak-300ab313/
Dolmarie Mendez Vidot,"Founder & President, KonnektingDots / Abartys Health",https://www.linkedin.com/in/dolmarie-mendez/
Angie L. Jiménez González,"CEO & Administrator, PRASC",https://www.linkedin.com/in/angie-l-jim%C3%A9nez-gonz%C3%A1lez-89a39121/
Carlos Bruno,"President, Arteria Publicidad",https://www.linkedin.com/in/carlos-bruno-18b02460/
John Bozek,"Chief Strategy Officer, Invest Puerto Rico",https://www.linkedin.com/in/jrbozek/
Jorge Besu,"Managing Partner, SMRT CITY",https://www.linkedin.com/in/jorgebesu/
Julia Whippo,"Co-Founder & CEO, Moneyball.ai",https://www.linkedin.com/in/julia-whippo/
Jorge Marsch,"Managing Partner, MARSCH Capital",https://www.linkedin.com/in/jorgemarsch/
Michael Sobeck,"Managing Partner, Ambria Capital",https://www.linkedin.com/in/michael-sobeck/
Alejandro Badillo,"Managing Partner, REOF Capital",https://www.linkedin.com/in/alejandro-badillo-7386596/
Julio R. Micheo,CFO,https://www.linkedin.com/in/julio-r-micheo/
Gilberto Marquez,Chief Financial Officer,https://www.linkedin.com/in/gilberto-marquez-70298518/
Raúl Palacios,"Fractional CFO / entrepreneur",https://www.linkedin.com/in/raulpalaciospr/
Florian Gaa,"General Manager, Abartys Health",https://www.linkedin.com/in/floriangaa/
Scott Riley,"COO / Head of Business Development",https://www.linkedin.com/in/scottrileypr/
Chris Ensey,"Founder / CEO / CTO / COO",https://www.linkedin.com/in/censey/
Laura Cantero,"Executive Director, Grupo Guayacán",https://www.linkedin.com/in/lauracantero/
Isabel Rullán,"Executive Director, ConPRmetidos",https://www.linkedin.com/in/isabel-rull%C3%A1n-82349468/
Ana María Cintrón-Marazzi,"Founder & Executive Director, Causa Local",https://www.linkedin.com/in/ana-mar%C3%ADa-cintr%C3%B3n-marazzi-866b0978/
Manny Morales,"Founder, Ticketera",https://www.linkedin.com/in/mannymor/
Juan Carlos Parra,"Co-Founder & CEO, Skootel",https://www.linkedin.com/in/jcparra/
Jonathan Gonzalez,"Co-Founder & CEO, Raincoat",https://www.linkedin.com/in/jgonzalezocasio/
Jesuan Betancourt,"CTO, Abartys Health",https://www.linkedin.com/in/jesuan-betancourt-9a64a425/
Xiomara Figueroa,"Engineering leader / former CTO",https://www.linkedin.com/in/xiomarafigueroa/
Cristina S. Tamayo Pérez,"Managing Director, Endeavor Puerto Rico",https://www.linkedin.com/in/cristina-s-tamayo-p%C3%A9rez-4a3b41121/
Ben Luntz,Entrepreneur & investor,https://www.linkedin.com/in/benluntz/
Chris Valentine,"Alternative investments / private equity / fintech",https://www.linkedin.com/in/christophervalentine/
