name,title,company,linkedin,headline,notes
Zoimé Álvarez Rubio,President & CEO,Asociación de Bancos de Puerto Rico,https://www.linkedin.com/in/zoim%C3%A9-%C3%A1lvarez-rubio-95813868/,,Banking industry leader
Sultan Yassin,President & CEO,Medplus Puerto Rico,https://www.linkedin.com/in/sultany/,,Healthcare executive
Clarisa Jimenez Mayoral,President & CEO,Puerto Rico Hotel & Tourism Association,https://www.linkedin.com/in/clarisa-jimenez-mayoral-96081110/,,Tourism & hospitality leader
Jose M. Suarez,President & CEO,BluHost,https://www.linkedin.com/in/jose-m-suarez-637b026b/,,Tech company CEO
Jon Borschow,Founder Chairman & CEO,Foundation for Puerto Rico,https://www.linkedin.com/in/jonborschow/,,Nonprofit and economic development
Rolando Padua,Co-Chief Executive Officer,Paulson Puerto Rico,https://www.linkedin.com/in/rolando-padua-7290a844/,,Investment firm
Alfonso Pardo,Founder & CEO,Bionuclear of Puerto Rico,https://www.linkedin.com/in/alfonso-pardo-28203091/,,Medical/nuclear technology
Jose Rafael Fernandez,Chairman & CEO,OFG Bancorp,https://www.linkedin.com/in/jose-rafael-fernandez-83a05134/,,Major Puerto Rico bank
Jorge Hernandez CPA,CEO,Aerostar Airport Holdings,https://www.linkedin.com/in/jorge-hernandez-cpa-566b734/,,Manages SJU airport
James Connor,CEO,Sygnus Capital Puerto Rico,https://www.linkedin.com/in/james-connor-b4911091/,,Investment/capital markets
Allan Evans,CEO,Unusual Machines,https://www.linkedin.com/in/allan-evans-phd/,,Drone technology company
Leslie Hufstetler,CEO,Infinigen,https://www.linkedin.com/in/leslie-hufstetler-27a14322/,,Energy/infrastructure
Jorge L Perez,CEO,Discover Puerto Rico,https://www.linkedin.com/in/jorge-l-perez-92603440/,,Tourism destination marketing
Hari Sabnani CPA,Founder President & CEO,Alivia Health,https://www.linkedin.com/in/hari-sabnani-cpa-88145141/,,Healthcare startup
Denisse Flores,Managing Partner,PwC San Juan,https://www.linkedin.com/in/denisse-flores-42934268/,,Big 4 accounting & advisory
Ernesto Aponte,Office Managing Partner,KPMG,https://www.linkedin.com/in/ernesto-aponte-347b912b/,,Big 4 accounting & advisory
Miriam de L. Figueroa,Managing Partner,DLA Piper San Juan,https://www.linkedin.com/in/miriam-de-l-figueroa-7251b63/,,International law firm
Harry Márquez,San Juan Managing Partner,Deloitte,https://www.linkedin.com/in/harry-marquez/,,Big 4 consulting
Hans Moll-Stubbe,Managing Partner,PRISA Group,https://www.linkedin.com/in/hans-moll-stubbe-a756216/,,Private equity / real estate
Maria Elena Carrion,Managing Partner,Multicultural Capital,https://www.linkedin.com/in/maria-elena-carrion-6b09369/,,Investment firm
Mauricio Muñoz CPA,Managing Partner,ClearView Consulting,https://www.linkedin.com/in/mauricio-mu%C3%B1oz-cpa-21bb83b3/,,Business consulting
Carter Redd,President,JUF / Juniper Capital Puerto Rico,https://www.linkedin.com/in/carterredd/,,Investment/finance
